[1.7586575  0.77055395 0.98810375 1.4322375  0.732656   0.69958156]
[1.665001  0.7968911 0.8681097 1.3137659 0.6769307 0.636835 ]
[1.6040773  0.74591523 0.8581621  1.3591421  0.6749261  0.6842156 ]
[1.6092737  0.74348044 0.8657932  1.3701624  0.67810935 0.6920527 ]
[1.6019098  0.7394492  0.86246026 1.3628955  0.6781369  0.6847584 ]
