[1.6252043  0.77509624 0.8501078  1.3802935  0.68845904 0.6918346 ]
[1.6038433  0.7471182  0.85672444 1.3614211  0.6774865  0.68393457]
[1.6045009  0.7378786  0.86662245 1.366718   0.68318796 0.68352973]
[1.5947446  0.7387199  0.85602444 1.3627921  0.6794371  0.68335485]
[1.560529   0.7260882  0.83444047 1.3725346  0.68526846 0.687266  ]
[1.5663711  0.738809   0.8275616  1.3591583  0.67795646 0.68120193]
[1.545062   0.7425746  0.802488   1.3581667  0.6780001  0.68016666]
[1.5389969  0.7546489  0.78434837 1.3566974  0.67748135 0.6792161 ]
[1.485074   0.73522866 0.74984574 1.3689808  0.68006176 0.6889191 ]
[1.4586829  0.7370899  0.7215928  1.3651322  0.67666316 0.6884692 ]
