[3.4807196  0.9211633  2.5595558  1.2591152  0.6145272  0.64458805]
[2.9680297  1.692159   1.2758707  0.75206125 0.3550611  0.39700016]
[3.2528353  1.908599   1.3442359  0.71952957 0.35006267 0.36946678]
[4.77811    3.0639043  1.7142059  0.2841828  0.12931871 0.15486407]
[5.649798   3.862104   1.7876935  0.17551999 0.08484994 0.09067003]
[5.2371635  3.5819082  1.6552559  0.3601479  0.1526582  0.20748965]
[5.8128085  4.088268   1.724541   0.16969547 0.08334432 0.08635109]
[6.3487163  4.6757164  1.6729993  0.07095447 0.03419118 0.03676331]
[6.1711593  4.5839562  1.5872039  0.20569378 0.08741463 0.11827908]
[6.385269   4.8251567  1.5601126  0.1708165  0.08598074 0.08483572]
[6.875612   5.27962    1.5959902  0.06630202 0.03352713 0.03277488]
[6.432901   5.064526   1.3683735  0.19099896 0.0777928  0.11320618]
[5.5835385  4.351281   1.2322577  0.17767131 0.08115361 0.09651772]
[7.462412   5.5325007  1.9299113  0.0204507  0.00995525 0.01049545]
